School Name,Roll/DENI Number,Experience,Event Start,Event End,School Name Clean,Year,county,DEIS (Y/N)
st.dominics college,60731F,Dream Space Academy for Post-Primary,2019-03-11 10:00:00,11/03/2019 13:00,st.dominics college,2019,Dublin,N
presentation college,60792C,Dream Space Academy for Post-Primary,2019-03-11 14:00:00,11/03/2019 17:00,presentation college,2019,Dublin,Y
scoil na naomh uilig,20271T,Dream Space Academy for Primary,2019-03-13 10:00:00,13/03/2019 13:00,scoil na naomh uilig,2019,Kildare,N
st attractas community school,91512Q,Dream Space Academy for Post-Primary,2019-03-13 14:00:00,13/03/2019 17:00,st attractas community school,2019,Sligo,N
gaelscoil eoghain uí thuairisc,19811S,Dream Space Academy for Primary,2019-03-14 11:00:00,14/03/2019 14:00,gaelscoil eoghain uí thuairisc,2019,Carlow,N
monkstown educate together,20060G,Dream Space Academy for Primary,2019-03-19 10:00:00,19/03/2019 13:00,monkstown educate together,2019,Dublin,N
monkstown educate together,20060G,Dream Space Academy for Primary,2019-03-20 10:00:00,20/03/2019 13:00,monkstown educate together,2019,Dublin,N
st. mocthas n.s.,20075T,Dream Space Academy for Primary,2019-03-20 14:00:00,20/03/2019 17:00,st. mocthas n.s.,2019,Clare,N
monkstown educate together,20060G,Dream Space Academy for Primary,2019-03-21 10:00:00,21/03/2019 13:00,monkstown educate together,2019,Dublin,N
colaiste eanna cbs,60342R,Dream Space Academy for Post-Primary,2019-03-21 14:00:00,21/03/2019 17:00,colaiste eanna cbs,2019,Dublin,N
our ladys secondary school,64570E,Dream Space Academy for Post-Primary,2019-03-22 10:00:00,22/03/2019 13:00,our ladys secondary school,2019,Mayo,Y
our ladys secondary school,65440T,Dream Space Academy for Post-Primary,2019-03-22 10:00:00,22/03/2019 13:00,our ladys secondary school,2019,Tipperary,N
st raphaelas secondary,60361V,Dream Space Academy for Post-Primary,2019-03-22 14:00:00,22/03/2019 17:00,st raphaelas secondary,2019,Dublin,N
de la salle college churchtown,60310E,Dream Space Academy for Post-Primary,2019-03-25 14:00:00,25/03/2019 17:00,de la salle college churchtown,2019,Dublin,N
tullow community school,91356F,Dream Space Academy for Post-Primary,2019-03-26 14:00:00,26/03/2019 17:00,tullow community school,2019,Carlow,N
st catherines senior girls school,17465P,Dream Space Academy for Primary,2019-03-27 10:00:00,27/03/2019 13:00,st catherines senior girls school,2019,Dublin,Y
colaiste chiarain,71840V,Dream Space Academy for Post-Primary,2019-03-27 14:00:00,27/03/2019 17:00,colaiste chiarain,2019,Limerick,Y
old bawn comminity school,91336W,Dream Space Academy for Post-Primary,2019-03-28 10:00:00,28/03/2019 13:00,old bawn comminity school,2019,Dublin,N
coola post primary,72310U,Dream Space Academy for Post-Primary,2019-03-29 11:00:00,29/03/2019 14:00,coola post primary,2019,Sligo,N
collinstown park community college,70041J,Dream Space Academy for Post-Primary,2019-04-02 10:00:00,02/04/2019 13:00,collinstown park community college,2019,Dublin,Y
queen of angels ps,19723V,Dream Space Academy for Primary,2019-04-02 14:00:00,02/04/2019 17:00,queen of angels ps,2019,Dublin,Y
canal way etns,20430N,Dream Space Academy for Primary,2019-04-03 10:00:00,03/04/2019 13:00,canal way etns,2019,Dublin,N
lehinch n.s,05120L,Dream Space Academy for Primary,2019-04-03 14:00:00,03/04/2019 17:00,lehinch n.s,2019,Mayo,Y
scoil mhuire gan smál,13404V,Dream Space Academy for Primary,2019-04-04 10:00:00,04/04/2019 13:00,scoil mhuire gan smál,2019,Tipperary,N
scoil mhuire gan smál,16749B,Dream Space Academy for Primary,2019-04-04 10:00:00,04/04/2019 13:00,scoil mhuire gan smál,2019,Louth,N
scoil mhuire gan smál,18070U,Dream Space Academy for Primary,2019-04-04 10:00:00,04/04/2019 13:00,scoil mhuire gan smál,2019,Mayo,N
tobar an léinn,16667W,Dream Space Academy for Primary,2019-04-04 14:00:00,04/04/2019 17:00,tobar an léinn,2019,Laois,N
holmpatrick national school,10014Q,Dream Space Academy for Primary,2019-04-05 10:00:00,05/04/2019 13:00,holmpatrick national school,2019,Kerry,N
scoil bhríde kilcullen,19675N,Dream Space Academy for Primary,2019-04-05 14:00:00,05/04/2019 17:00,scoil bhríde kilcullen,2019,Kildare,N
loreto college swords,60800V,Dream Space Academy for Post-Primary,2019-04-08 10:00:00,08/04/2019 13:00,loreto college swords,2019,Dublin,Y
our lady of mercy,12068D,Dream Space Academy for Post-Primary,2019-04-08 14:00:00,08/04/2019 17:00,our lady of mercy,2019,Meath,N
st annes ns,13198V,Dream Space Academy for Primary,2019-04-09 14:00:00,09/04/2019 17:00,st annes ns,2019,Roscommon,Y
colaiste phadraig lucan,60264A,Dream Space Academy for Post-Primary,2019-04-10 10:00:00,10/04/2019 13:00,colaiste phadraig lucan,2019,Dublin,N
scoil bhride kilcullen,19675N,Dream Space Academy for Primary,2019-04-10 14:00:00,10/04/2019 17:00,scoil bhride kilcullen,2019,Kildare,N
loreto college swords,60800V,Dream Space Academy for Post-Primary,2019-04-11 10:00:00,11/04/2019 13:00,loreto college swords,2019,Dublin,Y
colaiste mhuire,63270K,Dream Space Academy for Post-Primary,2019-04-30 10:00:00,30/04/2019 13:00,colaiste mhuire,2019,Westmeath,N
colaiste mhuire,71700F,Dream Space Academy for Post-Primary,2019-04-30 10:00:00,30/04/2019 13:00,colaiste mhuire,2019,Limerick,N
boyne cs,91508C,Dream Space Academy for Post-Primary,2019-05-02 14:00:00,02/05/2019 17:00,boyne cs,2019,Meath,Y
gaelscoil eiscir riada,20223I,Dream Space Academy for Primary,2019-05-08 10:00:00,08/05/2019 13:00,gaelscoil eiscir riada,2019,Dublin,N
canal way educate together national school,20430N,Dream Space Academy for Primary,2019-05-09 10:00:00,09/05/2019 13:00,canal way educate together national school,2019,Dublin,N
mount seskin community college,70141N,Dream Space Academy for Post-Primary,2019-05-09 14:00:00,09/05/2019 17:00,mount seskin community college,2019,Dublin,Y
collinstown park community college,70041J,Dream Space Academy for Post-Primary,2019-05-10 10:00:00,10/05/2019 13:00,collinstown park community college,2019,Dublin,Y
grange pps,15584N,Dream Space Academy for Post-Primary,2019-05-14 14:00:00,14/05/2019 17:00,grange pps,2019,Roscommon,N
avondale community college,70810H,Dream Space Academy for Post-Primary,2019-05-16 10:00:00,16/05/2019 13:00,avondale community college,2019,Wicklow,Y
rosemont school,60930L,Dream Space Academy for Post-Primary,2019-05-16 14:00:00,16/05/2019 17:00,rosemont school,2019,Dublin,N
our lady of the wayside,19764M,Dream Space Academy for Primary,2019-05-17 14:00:00,17/05/2019 17:00,our lady of the wayside,2019,Dublin,Y
st canices finglas,18683H,Dream Space Academy for Primary,2019-05-20 10:00:00,20/05/2019 13:00,st canices finglas,2019,Dublin,Y
presentation college headford co. galway,63040Q,Dream Space Academy for Post-Primary,2019-05-21 14:00:00,21/05/2019 17:00,presentation college headford co. galway,2019,,
coláiste bríde,60122D,Dream Space Academy for Post-Primary,2019-05-22 14:00:00,22/05/2019 17:00,coláiste bríde,2019,Dublin,N
st josephs p.s ballinrobe,20089H,Dream Space Academy for Primary,2019-05-23 10:00:00,23/05/2019 13:00,st josephs p.s ballinrobe,2019,Mayo,N
scoil chaitríona cailíní,20233L,Dream Space Academy for Primary,2019-05-23 14:00:00,23/05/2019 17:00,scoil chaitríona cailíní,2019,Limerick,Y
st josephs ps,16706G,Dream Space Academy for Primary,2019-05-24 10:00:00,24/05/2019 13:00,st josephs ps,2019,Kildare,N
st olafs ns,19319O,Dream Space Academy for Primary,2019-05-28 14:00:00,28/05/2019 17:00,st olafs ns,2019,Dublin,N
loreto secondary school kilkenny,60130C,Dream Space Academy for Post-Primary,2019-05-29 14:00:00,29/05/2019 17:00,loreto secondary school kilkenny,2019,Dublin,N
st. patricks n.s.,06998Q,Dream Space Academy for Primary,2019-05-30 10:00:00,30/05/2019 13:00,st. patricks n.s.,2019,Cavan,Y
terenure college,60570H,Dream Space Academy for Post-Primary,2019-05-30 14:00:00,30/05/2019 17:00,terenure college,2019,Dublin,N
terenure colleege,60570H,Dream Space Academy for Post-Primary,2019-05-31 14:00:00,31/05/2019 17:00,terenure colleege,2019,Dublin,N
colaiste muire,62200H,Dream Space Academy for Post-Primary,2019-06-03 14:00:00,03/06/2019 17:00,colaiste muire,2019,Cork,N
divine word ns,19574H,Dream Space Academy for Primary,2019-06-04 10:00:00,04/06/2019 13:00,divine word ns,2019,Dublin,N
